plot,area,subplot,treatment,numb.flow.spec,numb.spec,month
5_4,5,5_4_3,early,0,19,Jul
5_4,5,5_4_1,early,4,24,Aug
5_4,5,5_4_3,early,2,19,Jun
5_4,5,5_4_3,early,1,19,Sep
5_4,5,5_4_2,early,1,20,Sep
5_4,5,5_4_2,early,2,20,Aug
5_4,5,5_4_1,early,2,24,Sep
7_1,7,7_1_1,late,2,20,Aug
7_1,7,7_1_3,late,4,21,Aug
7_1,7,7_1_3,late,2,21,Sep
7_1,7,7_1_2,late,3,20,Aug
7_1,7,7_1_2,late,3,20,Sep
7_1,7,7_1_1,late,1,20,Jul
7_1,7,7_1_2,late,3,20,Jul
7_1,7,7_1_1,late,0,20,Sep
7_1,7,7_1_3,late,2,21,Jun
7_1,7,7_1_1,late,0,20,May
7_1,7,7_1_3,late,0,21,May
7_1,7,7_1_3,late,2,21,Jul
7_1,7,7_1_2,late,0,20,May
7_1,7,7_1_2,late,1,20,Jun
7_1,7,7_1_1,late,0,20,Jun
7_2,7,7_2_1,early,3,21,Aug
7_2,7,7_2_2,early,0,18,Jul
7_2,7,7_2_1,early,0,21,Jul
7_2,7,7_2_3,early,0,16,May
7_2,7,7_2_2,early,1,18,Aug
7_2,7,7_2_3,early,0,16,Jul
7_2,7,7_2_3,early,4,16,Aug
7_2,7,7_2_2,early,2,18,Jun
7_2,7,7_2_3,early,1,16,Jun
7_2,7,7_2_1,early,1,21,May
7_2,7,7_2_2,early,1,18,May
7_2,7,7_2_1,early,1,21,Jun
7_2,7,7_2_2,early,0,18,Sep
7_2,7,7_2_3,early,1,16,Sep
7_2,7,7_2_1,early,0,21,Sep
7_3,7,7_3_3,early,0,17,May
7_3,7,7_3_1,early,0,15,May
7_3,7,7_3_2,early,1,15,May
7_3,7,7_3_3,early,1,17,Aug
7_3,7,7_3_2,early,0,15,Sep
7_3,7,7_3_3,early,0,17,Sep
7_3,7,7_3_1,early,1,15,Aug
7_3,7,7_3_2,early,0,15,Aug
7_3,7,7_3_1,early,1,15,Jun
7_3,7,7_3_1,early,0,15,Jul
7_3,7,7_3_2,early,0,15,Jun
7_3,7,7_3_1,early,0,15,Sep
7_3,7,7_3_3,early,0,17,Jul
7_3,7,7_3_2,early,0,15,Jul
7_3,7,7_3_3,early,1,17,Jun
7_4,7,7_4_3,late,2,17,Aug
7_4,7,7_4_2,late,3,19,Aug
7_4,7,7_4_2,late,1,19,Sep
7_4,7,7_4_1,late,1,20,Jul
7_4,7,7_4_1,late,2,20,Sep
7_4,7,7_4_3,late,1,17,Sep
7_4,7,7_4_1,late,4,20,Aug
7_4,7,7_4_3,late,0,17,May
7_4,7,7_4_2,late,1,19,Jul
7_4,7,7_4_3,late,4,17,Jul
7_4,7,7_4_2,late,0,19,May
7_4,7,7_4_2,late,1,19,Jun
7_4,7,7_4_1,late,0,20,May
7_4,7,7_4_1,late,1,20,Jun
7_4,7,7_4_3,late,1,17,Jun
8_1,8,8_1_3,late,3,21,Aug
8_1,8,8_1_2,late,5,23,Aug
8_1,8,8_1_2,late,3,23,Sep
8_1,8,8_1_1,late,7,22,Jul
8_1,8,8_1_1,late,3,22,Sep
8_1,8,8_1_3,late,1,21,Sep
8_1,8,8_1_1,late,4,22,Aug
8_1,8,8_1_3,late,1,21,May
8_1,8,8_1_2,late,5,23,Jul
8_1,8,8_1_3,late,6,21,Jul
8_1,8,8_1_1,late,0,22,May
8_1,8,8_1_2,late,0,23,May
8_1,8,8_1_2,late,2,23,Jun
8_1,8,8_1_3,late,3,21,Jun
8_1,8,8_1_1,late,2,22,Jun
8_2,8,8_2_2,early,4,22,Aug
8_2,8,8_2_1,early,0,24,Sep
8_2,8,8_2_1,early,2,24,Aug
8_2,8,8_2_1,early,0,24,Jul
8_2,8,8_2_2,early,0,22,Jul
8_2,8,8_2_2,early,3,22,Sep
8_2,8,8_2_3,early,1,20,Aug
8_2,8,8_2_3,early,0,20,May
8_2,8,8_2_2,early,1,22,Jun
8_2,8,8_2_3,early,0,20,Jul
8_2,8,8_2_1,early,1,24,May
8_2,8,8_2_2,early,1,22,May
8_2,8,8_2_1,early,3,24,Jun
8_2,8,8_2_3,early,2,20,Jun
8_2,8,8_2_3,early,3,20,Sep
8_3,8,8_3_1,early,0,23,Jul
8_3,8,8_3_1,early,1,23,Aug
8_3,8,8_3_1,early,0,23,May
8_3,8,8_3_3,early,0,22,May
8_3,8,8_3_1,early,1,23,Jun
8_3,8,8_3_2,early,1,25,Jun
8_3,8,8_3_3,early,0,22,Jun
8_3,8,8_3_2,early,0,25,May
8_3,8,8_3_1,early,2,23,Sep
8_3,8,8_3_2,early,2,25,Sep
8_3,8,8_3_3,early,2,22,Sep
8_3,8,8_3_2,early,0,25,Jul
8_3,8,8_3_2,early,2,25,Aug
8_3,8,8_3_3,early,3,22,Aug
8_3,8,8_3_3,early,0,22,Jul
8_4,8,8_4_1,late,1,17,Sep
8_4,8,8_4_1,late,3,17,Aug
8_4,8,8_4_2,late,2,18,Sep
8_4,8,8_4_3,late,4,20,Sep
8_4,8,8_4_1,late,3,17,Jul
8_4,8,8_4_2,late,3,18,Aug
8_4,8,8_4_3,late,2,20,Aug
8_4,8,8_4_3,late,0,20,May
8_4,8,8_4_1,late,5,17,Jun
8_4,8,8_4_2,late,4,18,Jul
8_4,8,8_4_1,late,0,17,May
8_4,8,8_4_2,late,1,18,Jun
8_4,8,8_4_3,late,4,20,Jul
8_4,8,8_4_3,late,2,20,Jun
8_4,8,8_4_2,late,1,18,May
9_1,9,9_1_1,late,0,18,Sep
9_1,9,9_1_2,late,0,15,Sep
9_1,9,9_1_1,late,1,18,Aug
9_1,9,9_1_2,late,2,15,Aug
9_1,9,9_1_3,late,2,14,Sep
9_1,9,9_1_1,late,4,18,Jul
9_1,9,9_1_2,late,2,15,Jul
9_1,9,9_1_3,late,2,14,Aug
9_1,9,9_1_1,late,1,18,Jun
9_1,9,9_1_2,late,1,15,Jun
9_1,9,9_1_3,late,2,14,Jul
9_1,9,9_1_3,late,0,14,May
9_1,9,9_1_1,late,0,18,May
9_1,9,9_1_3,late,1,14,Jun
9_1,9,9_1_2,late,0,15,May
9_2,9,9_2_2,early,0,18,Sep
9_2,9,9_2_1,early,1,16,Sep
9_2,9,9_2_2,early,2,18,Aug
9_2,9,9_2_3,early,0,18,Sep
9_2,9,9_2_1,early,1,16,Aug
9_2,9,9_2_2,early,0,18,Jul
9_2,9,9_2_3,early,1,18,Aug
9_2,9,9_2_3,early,0,18,May
9_2,9,9_2_1,early,0,16,Jul
9_2,9,9_2_2,early,0,18,Jun
9_2,9,9_2_3,early,0,18,Jul
9_2,9,9_2_1,early,0,16,Jun
9_2,9,9_2_1,early,0,16,May
9_2,9,9_2_3,early,2,18,Jun
9_2,9,9_2_2,early,0,18,May
9_3,9,9_3_1,late,4,16,Aug
9_3,9,9_3_1,late,4,16,Jul
9_3,9,9_3_2,late,2,20,Jul
9_3,9,9_3_3_,late,3,19,Jul
9_3,9,9_3_1,late,2,16,Jun
9_3,9,9_3_2,late,1,20,Jun
9_3,9,9_3_3,late,1,19,Jun
9_3,9,9_3_3,late,0,19,May
9_3,9,9_3_1,late,0,16,Sep
9_3,9,9_3_1,late,1,16,May
9_3,9,9_3_2,late,0,20,May
9_3,9,9_3_2,late,0,20,Sep
9_3,9,9_3_3,late,2,19,Sep
9_3,9,9_3_2,late,1,20,Aug
9_3,9,9_3_3,late,2,19,Aug
9_4,9,9_4_1,early,2,16,Jun
9_4,9,9_4_1,early,0,16,May
9_4,9,9_4_3,early,0,16,Aug
9_4,9,9_4_2,early,1,14,Sep
9_4,9,9_4_3,early,1,16,Sep
9_4,9,9_4_3,early,1,16,May
9_4,9,9_4_2,early,0,14,Aug
9_4,9,9_4_1,early,1,16,Sep
9_4,9,9_4_1,early,0,16,Jul
9_4,9,9_4_2,early,1,14,Jun
9_4,9,9_4_2,early,0,14,Jul
9_4,9,9_4_3,early,0,16,Jul
9_4,9,9_4_3,early,1,16,Jun
9_4,9,9_4_2,early,0,14,May
9_4,9,9_4_1,early,1,16,Aug
