plot,area,subplot,treatment,numb.flow.spec,numb.spec,month,prop.flow.spec
2_3,2,2_3_2,late,0,20,May,0
2_3,2,2_3_3,late,3,15,Jul,20
2_3,2,2_3_3,late,2,15,Aug,13.3333
2_3,2,2_3_2,late,3,20,Sep,15
2_3,2,2_3_3,late,1,15,Jun,6.6667
2_4,2,2_4_1,early,1,16,May,6.25
2_4,2,2_4_3,early,0,15,Jul,0
2_4,2,2_4_3,early,2,15,Jun,13.3333
2_4,2,2_4_2,early,0,16,Jul,0
2_4,2,2_4_2,early,2,16,Jun,12.5
2_4,2,2_4_3,early,1,15,Sep,6.6667
2_4,2,2_4_2,early,2,16,Sep,12.5
2_4,2,2_4_1,early,2,16,Sep,12.5
2_4,2,2_4_1,early,2,16,Aug,12.5
2_4,2,2_4_1,early,0,16,Jul,0
2_4,2,2_4_3,early,2,15,Aug,13.3333
2_4,2,2_4_3,early,0,15,May,0
2_4,2,2_4_2,early,0,16,May,0
2_4,2,2_4_1,early,2,16,Jun,12.5
2_4,2,2_4_2,early,1,16,Aug,6.25
5_1,5,5_1_2,early,1,18,Aug,5.5556
5_1,5,5_1_3,early,2,17,Aug,11.7647
5_1,5,5_1_1,early,3,24,Aug,12.5
5_1,5,5_1_2,early,2,18,Sep,11.1111
5_1,5,5_1_3,early,0,17,Jul,0
5_1,5,5_1_2,early,0,18,Jul,0
5_1,5,5_1_3,early,1,17,Sep,5.8824
5_1,5,5_1_1,early,4,24,Sep,16.6667
5_1,5,5_1_3,early,1,17,Jun,5.8824
5_1,5,5_1_1,early,0,24,Jul,0
5_1,5,5_1_2,early,2,18,Jun,11.1111
5_1,5,5_1_3,early,0,17,May,0
5_1,5,5_1_1,early,3,24,Jun,12.5
5_1,5,5_1_2,early,1,18,May,5.5556
5_1,5,5_1_1,early,2,24,May,8.3333
5_2,5,5_2_3,late,1,28,Jun,3.5714
5_2,5,5_2_2,late,3,24,Jun,12.5
5_2,5,5_2_2,late,1,24,Sep,4.1667
5_2,5,5_2_3,late,2,28,Aug,7.1429
5_2,5,5_2_1,late,2,20,Jun,10
5_2,5,5_2_1,late,1,20,Sep,5
5_2,5,5_2_3,late,2,28,Sep,7.1429
5_2,5,5_2_3,late,3,28,Jul,10.7143
5_2,5,5_2_1,late,2,20,May,10
5_2,5,5_2_3,late,0,28,May,0
5_2,5,5_2_2,late,5,24,Aug,20.8333
5_2,5,5_2_2,late,5,24,Jul,20.8333
5_2,5,5_2_2,late,0,24,May,0
5_2,5,5_2_1,late,3,20,Aug,15
5_2,5,5_2_1,late,2,20,Jul,10
5_3,5,5_3_2,late,1,26,Sep,3.8462
5_3,5,5_3_1,late,3,24,Aug,12.5
5_3,5,5_3_2,late,4,26,Aug,15.3846
5_3,5,5_3_3,late,3,25,Jul,12
5_3,5,5_3_1,late,1,24,Sep,4.1667
5_3,5,5_3_1,late,3,24,Jul,12.5
5_3,5,5_3_2,late,3,26,Jul,11.5385
5_3,5,5_3_3,late,3,25,Jun,12
5_3,5,5_3_3,late,3,25,Sep,12
5_3,5,5_3_2,late,4,26,Jun,15.3846
5_3,5,5_3_3,late,1,25,May,4
5_3,5,5_3_1,late,1,24,Jun,4.1667
5_3,5,5_3_3,late,1,25,Aug,4
5_3,5,5_3_1,late,0,24,May,0
5_3,5,5_3_2,late,2,26,May,7.6923
5_4,5,5_4_1,early,0,24,Jul,0
5_4,5,5_4_1,early,2,24,Jun,8.3333
5_4,5,5_4_1,early,1,24,May,4.1667
5_4,5,5_4_2,early,2,20,Jun,10
5_4,5,5_4_2,early,0,20,Jul,0
5_4,5,5_4_3,early,2,19,Aug,10.5263
5_4,5,5_4_2,early,2,20,May,10
5_4,5,5_4_3,early,0,19,May,0
5_4,5,5_4_3,early,0,19,Jul,0
5_4,5,5_4_1,early,4,24,Aug,16.6667
5_4,5,5_4_3,early,2,19,Jun,10.5263
5_4,5,5_4_3,early,1,19,Sep,5.2632
5_4,5,5_4_2,early,1,20,Sep,5
5_4,5,5_4_2,early,2,20,Aug,10
5_4,5,5_4_1,early,2,24,Sep,8.3333
7_1,7,7_1_1,late,2,20,Aug,10
7_1,7,7_1_3,late,4,21,Aug,19.0476
7_1,7,7_1_3,late,2,21,Sep,9.5238
7_1,7,7_1_2,late,3,20,Aug,15
7_1,7,7_1_2,late,3,20,Sep,15
7_1,7,7_1_1,late,1,20,Jul,5
7_1,7,7_1_2,late,3,20,Jul,15
7_1,7,7_1_1,late,0,20,Sep,0
7_1,7,7_1_3,late,2,21,Jun,9.5238
7_1,7,7_1_1,late,0,20,May,0
7_1,7,7_1_3,late,0,21,May,0
7_1,7,7_1_3,late,2,21,Jul,9.5238
7_1,7,7_1_2,late,0,20,May,0
7_1,7,7_1_2,late,1,20,Jun,5
7_1,7,7_1_1,late,0,20,Jun,0
7_2,7,7_2_1,early,3,21,Aug,14.2857
7_2,7,7_2_2,early,0,18,Jul,0
7_2,7,7_2_1,early,0,21,Jul,0
7_2,7,7_2_3,early,0,16,May,0
7_2,7,7_2_2,early,1,18,Aug,5.5556
7_2,7,7_2_3,early,0,16,Jul,0
7_2,7,7_2_3,early,4,16,Aug,25
7_2,7,7_2_2,early,2,18,Jun,11.1111
7_2,7,7_2_3,early,1,16,Jun,6.25
7_2,7,7_2_1,early,1,21,May,4.7619
7_2,7,7_2_2,early,1,18,May,5.5556
7_2,7,7_2_1,early,1,21,Jun,4.7619
7_2,7,7_2_2,early,0,18,Sep,0
7_2,7,7_2_3,early,1,16,Sep,6.25
7_2,7,7_2_1,early,0,21,Sep,0
7_3,7,7_3_3,early,0,17,May,0
7_3,7,7_3_1,early,0,15,May,0
7_3,7,7_3_2,early,1,15,May,6.6667
7_3,7,7_3_3,early,1,17,Aug,5.8824
7_3,7,7_3_2,early,0,15,Sep,0
7_3,7,7_3_3,early,0,17,Sep,0
7_3,7,7_3_1,early,1,15,Aug,6.6667
7_3,7,7_3_2,early,0,15,Aug,0
7_3,7,7_3_1,early,1,15,Jun,6.6667
7_3,7,7_3_1,early,0,15,Jul,0
7_3,7,7_3_2,early,0,15,Jun,0
7_3,7,7_3_1,early,0,15,Sep,0
7_3,7,7_3_3,early,0,17,Jul,0
7_3,7,7_3_2,early,0,15,Jul,0
7_3,7,7_3_3,early,1,17,Jun,5.8824
7_4,7,7_4_3,late,2,17,Aug,11.7647
7_4,7,7_4_2,late,3,19,Aug,15.7895
7_4,7,7_4_2,late,1,19,Sep,5.2632
7_4,7,7_4_1,late,1,20,Jul,5
7_4,7,7_4_1,late,2,20,Sep,10
7_4,7,7_4_3,late,1,17,Sep,5.8824
7_4,7,7_4_1,late,4,20,Aug,20
7_4,7,7_4_3,late,0,17,May,0
7_4,7,7_4_2,late,1,19,Jul,5.2632
7_4,7,7_4_3,late,4,17,Jul,23.5294
7_4,7,7_4_2,late,0,19,May,0
7_4,7,7_4_2,late,1,19,Jun,5.2632
7_4,7,7_4_1,late,0,20,May,0
7_4,7,7_4_1,late,1,20,Jun,5
7_4,7,7_4_3,late,1,17,Jun,5.8824
8_1,8,8_1_3,late,3,21,Aug,14.2857
8_1,8,8_1_2,late,5,23,Aug,21.7391
8_1,8,8_1_2,late,3,23,Sep,13.0435
8_1,8,8_1_1,late,7,22,Jul,31.8182
8_1,8,8_1_1,late,3,22,Sep,13.6364
8_1,8,8_1_3,late,1,21,Sep,4.7619
8_1,8,8_1_1,late,4,22,Aug,18.1818
8_1,8,8_1_3,late,1,21,May,4.7619
8_1,8,8_1_2,late,5,23,Jul,21.7391
8_1,8,8_1_3,late,6,21,Jul,28.5714
8_1,8,8_1_1,late,0,22,May,0
8_1,8,8_1_2,late,0,23,May,0
8_1,8,8_1_2,late,2,23,Jun,8.6957
8_1,8,8_1_3,late,3,21,Jun,14.2857
8_1,8,8_1_1,late,2,22,Jun,9.0909
8_2,8,8_2_2,early,4,22,Aug,18.1818
8_2,8,8_2_1,early,0,24,Sep,0
8_2,8,8_2_1,early,2,24,Aug,8.3333
8_2,8,8_2_1,early,0,24,Jul,0
8_2,8,8_2_2,early,0,22,Jul,0
8_2,8,8_2_2,early,3,22,Sep,13.6364
8_2,8,8_2_3,early,1,20,Aug,5
8_2,8,8_2_3,early,0,20,May,0
8_2,8,8_2_2,early,1,22,Jun,4.5455
8_2,8,8_2_3,early,0,20,Jul,0
8_2,8,8_2_1,early,1,24,May,4.1667
8_2,8,8_2_2,early,1,22,May,4.5455
8_2,8,8_2_1,early,3,24,Jun,12.5
8_2,8,8_2_3,early,2,20,Jun,10
8_2,8,8_2_3,early,3,20,Sep,15
8_3,8,8_3_1,early,0,23,Jul,0
8_3,8,8_3_1,early,1,23,Aug,4.3478
8_3,8,8_3_1,early,0,23,May,0
8_3,8,8_3_3,early,0,22,May,0
8_3,8,8_3_1,early,1,23,Jun,4.3478
8_3,8,8_3_2,early,1,25,Jun,4
8_3,8,8_3_3,early,0,22,Jun,0
8_3,8,8_3_2,early,0,25,May,0
8_3,8,8_3_1,early,2,23,Sep,8.6957
8_3,8,8_3_2,early,2,25,Sep,8
8_3,8,8_3_3,early,2,22,Sep,9.0909
8_3,8,8_3_2,early,0,25,Jul,0
8_3,8,8_3_2,early,2,25,Aug,8
8_3,8,8_3_3,early,3,22,Aug,13.6364
8_3,8,8_3_3,early,0,22,Jul,0
8_4,8,8_4_1,late,1,17,Sep,5.8824
8_4,8,8_4_1,late,3,17,Aug,17.6471
8_4,8,8_4_2,late,2,18,Sep,11.1111
8_4,8,8_4_3,late,4,20,Sep,20
8_4,8,8_4_1,late,3,17,Jul,17.6471
8_4,8,8_4_2,late,3,18,Aug,16.6667
8_4,8,8_4_3,late,2,20,Aug,10
8_4,8,8_4_3,late,0,20,May,0
8_4,8,8_4_1,late,5,17,Jun,29.4118
8_4,8,8_4_2,late,4,18,Jul,22.2222
8_4,8,8_4_1,late,0,17,May,0
8_4,8,8_4_2,late,1,18,Jun,5.5556
8_4,8,8_4_3,late,4,20,Jul,20
8_4,8,8_4_3,late,2,20,Jun,10
8_4,8,8_4_2,late,1,18,May,5.5556
9_1,9,9_1_1,late,0,18,Sep,0
9_1,9,9_1_2,late,0,15,Sep,0
9_1,9,9_1_1,late,1,18,Aug,5.5556
9_1,9,9_1_2,late,2,15,Aug,13.3333
9_1,9,9_1_3,late,2,14,Sep,14.2857
9_1,9,9_1_1,late,4,18,Jul,22.2222
9_1,9,9_1_2,late,2,15,Jul,13.3333
9_1,9,9_1_3,late,2,14,Aug,14.2857
9_1,9,9_1_1,late,1,18,Jun,5.5556
9_1,9,9_1_2,late,1,15,Jun,6.6667
9_1,9,9_1_3,late,2,14,Jul,14.2857
9_1,9,9_1_3,late,0,14,May,0
9_1,9,9_1_1,late,0,18,May,0
9_1,9,9_1_3,late,1,14,Jun,7.1429
9_1,9,9_1_2,late,0,15,May,0
9_2,9,9_2_2,early,0,18,Sep,0
9_2,9,9_2_1,early,1,16,Sep,6.25
9_2,9,9_2_2,early,2,18,Aug,11.1111
9_2,9,9_2_3,early,0,18,Sep,0
9_2,9,9_2_1,early,1,16,Aug,6.25
9_2,9,9_2_2,early,0,18,Jul,0
9_2,9,9_2_3,early,1,18,Aug,5.5556
9_2,9,9_2_3,early,0,18,May,0
9_2,9,9_2_1,early,0,16,Jul,0
9_2,9,9_2_2,early,0,18,Jun,0
9_2,9,9_2_3,early,0,18,Jul,0
9_2,9,9_2_1,early,0,16,Jun,0
9_2,9,9_2_1,early,0,16,May,0
9_2,9,9_2_3,early,2,18,Jun,11.1111
9_2,9,9_2_2,early,0,18,May,0
9_3,9,9_3_1,late,4,16,Aug,25
9_3,9,9_3_1,late,4,16,Jul,25
9_3,9,9_3_2,late,2,20,Jul,10
9_3,9,9_3_3_,late,3,19,Jul,15.7895
9_3,9,9_3_1,late,2,16,Jun,12.5
9_3,9,9_3_2,late,1,20,Jun,5
9_3,9,9_3_3,late,1,19,Jun,5.2632
9_3,9,9_3_3,late,0,19,May,0
9_3,9,9_3_1,late,0,16,Sep,0
9_3,9,9_3_1,late,1,16,May,6.25
9_3,9,9_3_2,late,0,20,May,0
9_3,9,9_3_2,late,0,20,Sep,0
9_3,9,9_3_3,late,2,19,Sep,10.5263
9_3,9,9_3_2,late,1,20,Aug,5
9_3,9,9_3_3,late,2,19,Aug,10.5263
9_4,9,9_4_1,early,2,16,Jun,12.5
9_4,9,9_4_1,early,0,16,May,0
9_4,9,9_4_3,early,0,16,Aug,0
9_4,9,9_4_2,early,1,14,Sep,7.1429
9_4,9,9_4_3,early,1,16,Sep,6.25
9_4,9,9_4_3,early,1,16,May,6.25
9_4,9,9_4_2,early,0,14,Aug,0
9_4,9,9_4_1,early,1,16,Sep,6.25
9_4,9,9_4_1,early,0,16,Jul,0
9_4,9,9_4_2,early,1,14,Jun,7.1429
9_4,9,9_4_2,early,0,14,Jul,0
9_4,9,9_4_3,early,0,16,Jul,0
9_4,9,9_4_3,early,1,16,Jun,6.25
9_4,9,9_4_2,early,0,14,May,0
9_4,9,9_4_1,early,1,16,Aug,6.25
